=== CPU Statistics Log ===
Started: 2025-11-20 00:20:31 (UTC Time)
========================================

[2025-11-20 01:46:31] Global CPU Usage: 10.82% | Cores: 8 | Per-core: [CPU0: 10.00%, CPU1: 10.53%, CPU2: 5.00%, CPU3: 20.00%, CPU4: 5.26%, CPU5: 10.00%, CPU6: 15.79%, CPU7: 10.00%]
[2025-11-20 01:48:31] Global CPU Usage: 18.31% | Cores: 8 | Per-core: [CPU0: 28.57%, CPU1: 15.00%, CPU2: 31.58%, CPU3: 10.53%, CPU4: 10.00%, CPU5: 15.79%, CPU6: 10.00%, CPU7: 25.00%]
[2025-11-20 01:50:31] Global CPU Usage: 8.22% | Cores: 8 | Per-core: [CPU0: 5.26%, CPU1: 15.00%, CPU2: 5.00%, CPU3: 10.00%, CPU4: 10.00%, CPU5: 5.26%, CPU6: 5.26%, CPU7: 10.00%]
[2025-11-20 01:52:31] Global CPU Usage: 29.14% | Cores: 8 | Per-core: [CPU0: 100.00%, CPU1: 15.00%, CPU2: 15.79%, CPU3: 30.00%, CPU4: 10.53%, CPU5: 19.05%, CPU6: 15.00%, CPU7: 27.78%]
[2025-11-20 01:54:31] Global CPU Usage: 8.61% | Cores: 8 | Per-core: [CPU0: 9.52%, CPU1: 10.00%, CPU2: 10.00%, CPU3: 19.05%, CPU4: 5.00%, CPU5: 5.26%, CPU6: 5.26%, CPU7: 4.76%]
[2025-11-20 01:56:31] Global CPU Usage: 10.57% | Cores: 8 | Per-core: [CPU0: 15.00%, CPU1: 25.00%, CPU2: 14.29%, CPU3: 5.26%, CPU4: 9.52%, CPU5: 5.00%, CPU6: 0.00%, CPU7: 10.53%]
[2025-11-20 01:58:31] Global CPU Usage: 7.33% | Cores: 8 | Per-core: [CPU0: 9.09%, CPU1: 5.00%, CPU2: 0.00%, CPU3: 5.00%, CPU4: 25.00%, CPU5: 4.76%, CPU6: 5.00%, CPU7: 4.76%]
[2025-11-20 02:00:31] Global CPU Usage: 7.50% | Cores: 8 | Per-core: [CPU0: 10.00%, CPU1: 10.00%, CPU2: 0.00%, CPU3: 15.00%, CPU4: 5.00%, CPU5: 5.00%, CPU6: 5.00%, CPU7: 10.00%]
[2025-11-20 02:02:31] Global CPU Usage: 5.54% | Cores: 8 | Per-core: [CPU0: 0.00%, CPU1: 5.00%, CPU2: 0.00%, CPU3: 5.26%, CPU4: 5.00%, CPU5: 15.00%, CPU6: 9.09%, CPU7: 5.00%]
[2025-11-20 02:04:31] Global CPU Usage: 19.72% | Cores: 8 | Per-core: [CPU0: 20.00%, CPU1: 15.79%, CPU2: 19.05%, CPU3: 30.00%, CPU4: 15.00%, CPU5: 10.53%, CPU6: 21.05%, CPU7: 26.32%]
